Id Igreja,Nome Igreja,Status Igreja,Score,Algum gestor resp. eventos,Nível,Nível (Cor)
2.907,Lagoinha Cape Cod,entregue,40,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.917,Igreja Logos,publicado,40,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.289,Bola de Neve Church,publicado,40,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.352,IGREJA BATISTA MISSÃO MULTIPLICAR,publicado,40,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
182,Igreja Pura Fé,publicado,37,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
492,Igreja do Nazareno Distrito de São Paulo - Viva App,publicado,37,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
715,All Nations Church of God in Christ,publicado,37,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
882,Nueva Generación Cristiana RI,publicado,37,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
1.197,Faith Tabernacle Community Church Inc,entregue,37,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
1.312,Favor y Gracia Church,publicado,37,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.090,MINISTERIO FAMILIA BENDITA,publicado,37,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.207,Igreja Casa de Oração Franca,publicado,37,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.266,Quadrangular Estrada de Paciência,publicado,37,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.311,IEQ Dumavile,publicado,37,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.439,Peoples Church,publicado,37,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
298,Igreja Apostólica Manancial da Fé,publicado,32,Sim,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png
